"codigo","nome","estado","lat","long","network","year.size","is_sul","rbar","classe_rbar","confia_theta","theta","mes_oposto","mes_oposto_nome","mes_relatorio","mes_relatorio_nome","n_meses_secos","seco_frac","mes_artigo","mes_hibrido_rbar","fonte_hibrido_rbar","mes_hibrido_nome"
"1068000","Xapuri","AC",-10.6497,-68.5067,"Hidroweb diário",41,FALSE,0.46246122541177126,"alta (>=0.3)",TRUE,0.31125383647864246,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"1069000","Assis Brasil","AC",-10.9436,-69.5656,"Hidroweb diário",38,FALSE,0.5433407006692791,"alta (>=0.3)",TRUE,6.219331503521854,6,"jun",8,"ago",3,0.15,6,6,"theta_pi","jun"
"1168001","Brasiléia","AC",-11.0233,-68.735,"Hidroweb diário",39,FALSE,0.4603144241359335,"alta (>=0.3)",TRUE,0.12648110879353514,7,"jul",8,"ago",3,0.15,6,7,"theta_pi","jul"
"771001","Tarauacá","AC",-7.9511,-71.4822,"Hidroweb diário",32,FALSE,0.44537196107174093,"alta (>=0.3)",TRUE,0.5969663676307315,8,"ago",8,"ago",3,0.15,7,8,"theta_pi","ago"
"772003","Tarauacá","AC",-7.8503,-72.0192,"Hidroweb diário",31,FALSE,0.4910732703414461,"alta (>=0.3)",TRUE,0.9733002431172356,8,"ago",9,"set",4,0.15,7,8,"theta_pi","ago"
"773000","Cruzeiro do Sul","AC",-7.4356,-73.6522,"Hidroweb diário",42,FALSE,0.2920292868555665,"media (0.20-0.3)",FALSE,0.5310190298516012,8,"ago",8,"ago",2,0.15,8,8,"ultimo_mes_seco","ago"
"82704","Cruzeiro do Sul","AC",-7.61,-72.68,"INMET diário",45,FALSE,0.28917044489547206,"media (0.20-0.3)",FALSE,1.1963715775097163,9,"set",8,"ago",3,0.15,7,8,"ultimo_mes_seco","ago"
"82807","Tarauaca","AC",-8.16027777,-70.7686111,"INMET diário",51,FALSE,0.5136300520337959,"alta (>=0.3)",TRUE,0.24965028995065075,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"82915","Rio Branco","AC",-9.96,-67.87,"INMET diário",51,FALSE,0.5258863278314115,"alta (>=0.3)",TRUE,0.4017498727678366,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"869000","Manoel Urbano","AC",-8.8842,-69.2681,"Hidroweb diário",31,FALSE,0.5471440726531357,"alta (>=0.3)",TRUE,0.29136511450477515,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"870002","Feijó","AC",-8.1636,-70.3564,"Hidroweb diário",35,FALSE,0.42983533178364486,"alta (>=0.3)",TRUE,0.3998872466652767,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"872000","Marechal Thaumaturgo","AC",-8.9353,-72.785,"Hidroweb diário",41,FALSE,0.40547895128596106,"alta (>=0.3)",TRUE,0.27794086408027546,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"872001","Porto Walter","AC",-8.2675,-72.7344,"Hidroweb diário",39,FALSE,0.6073723496967606,"alta (>=0.3)",TRUE,0.4541761741623512,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"967000","Rio Branco","AC",-9.9758,-67.8,"Hidroweb diário",49,FALSE,0.5300857091315966,"alta (>=0.3)",TRUE,0.46003133398802987,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"969001","Sena Madureira","AC",-9.1103,-68.9933,"Hidroweb diário",34,FALSE,0.5439728196210193,"alta (>=0.3)",TRUE,0.1912468192564654,7,"jul",8,"ago",3,0.15,7,7,"theta_pi","jul"
"972000","Marechal Thaumaturgo","AC",-9.4017,-72.7025,"Hidroweb diário",38,FALSE,0.44987487011757843,"alta (>=0.3)",TRUE,0.3823779728503962,7,"jul",9,"set",4,0.15,7,7,"theta_pi","jul"
"1036003","Igreja Nova","AL",-10.1167,-36.65,"Hidroweb diário",34,FALSE,0.5599672895402127,"alta (>=0.3)",TRUE,2.2437855424340443,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"1036004","Penedo","AL",-10.2833,-36.5833,"Hidroweb diário",61,FALSE,0.6230315076813796,"alta (>=0.3)",TRUE,2.402092853667965,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"1036005","Penedo","AL",-10.285,-36.5564,"Hidroweb diário",90,FALSE,0.5988110978114127,"alta (>=0.3)",TRUE,2.381861614076256,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"1036007","Piaçabuçú","AL",-10.4064,-36.4261,"Hidroweb diário",89,FALSE,0.5131781992456252,"alta (>=0.3)",TRUE,2.3664647741511375,11,"nov",2,"fev",6,0.15,10,11,"theta_pi","nov"
"1036008","Piaçabuçú","AL",-10.4053,-36.4219,"Hidroweb diário",69,FALSE,0.5442238982551616,"alta (>=0.3)",TRUE,2.1457459566613,11,"nov",2,"fev",6,0.15,11,11,"theta_pi","nov"
"1036009","Porto Real do Colégio","AL",-10.1833,-36.8333,"Hidroweb diário",81,FALSE,0.4494656345843713,"alta (>=0.3)",TRUE,1.9681083726632833,10,"out",2,"fev",5,0.15,10,10,"theta_pi","out"
"1036011","Coruripe","AL",-10.1167,-36.4,"Hidroweb diário",31,FALSE,0.5105188305610853,"alta (>=0.3)",TRUE,2.527010049404825,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"1036013","Coruripe","AL",-10.1167,-36.1667,"Hidroweb diário",49,FALSE,0.6187390377497538,"alta (>=0.3)",TRUE,2.2030345014403556,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"1036062","Coruripe","AL",-10.0314,-36.3039,"Hidroweb diário",36,FALSE,0.5899384197072244,"alta (>=0.3)",TRUE,2.680973444829044,12,"dez",3,"mar",6,0.15,11,12,"theta_pi","dez"
"82989","Agua Branca","AL",-9.26,-37.94,"INMET diário",44,FALSE,0.41212712008493085,"alta (>=0.3)",TRUE,1.3954183763140757,9,"set",2,"fev",5,0.15,11,9,"theta_pi","set"
"82990","Pao de Acucar","AL",-9.75,-37.43,"INMET diário",42,FALSE,0.317122002515642,"alta (>=0.3)",TRUE,1.6331481213790648,10,"out",1,"jan",4,0.15,11,10,"theta_pi","out"
"82992","Palmeira dos Indios","AL",-9.42027777,-36.62027777,"INMET diário",47,FALSE,0.444791407363885,"alta (>=0.3)",TRUE,1.9882503828812357,10,"out",2,"fev",6,0.15,11,10,"theta_pi","out"
"82994","Maceio","AL",-9.55,-35.77,"INMET diário",51,FALSE,0.5605547840759512,"alta (>=0.3)",TRUE,2.4461211904652496,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"82996","Porto de Pedras","AL",-9.162012,-35.299881,"INMET diário",46,FALSE,0.5654886485833632,"alta (>=0.3)",TRUE,2.6132594526415405,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"835072","Colônia Leopoldina","AL",-8.9167,-35.7167,"Hidroweb diário",37,FALSE,0.6360142335936262,"alta (>=0.3)",TRUE,2.6761038792447955,12,"dez",2,"fev",5,0.15,10,12,"theta_pi","dez"
