"estado","n","rbar_med","pct_rbar_ge_limiar","pct_fonte_theta_pi"
"AC",17,0.491,88.2,88.2
"AL",68,0.542,98.5,98.5
"AM",123,0.452,85.4,85.4
"AP",13,0.608,100,100
"BA",456,0.598,91,91
"CE",431,0.747,100,100
"DF",26,0.587,100,100
"ES",99,0.623,100,100
"GO",131,0.635,100,100
"MA",104,0.661,100,100
"MG",572,0.689,100,100
"MS",119,0.43,78.2,78.2
"MT",132,0.587,100,100
"PA",129,0.594,100,100
"PB",224,0.689,100,100
"PE",198,0.639,99.5,99.5
"PI",148,0.662,100,100
"PR",579,0.144,12.3,12.3
"RJ",141,0.653,97.2,97.2
"RN",108,0.748,100,100
"RO",29,0.575,100,100
"RR",27,0.487,88.9,88.9
"RS",253,0.13,2.4,2.4
"SC",176,0.151,14.2,14.2
"SE",40,0.46,92.5,92.5
"SP",1249,0.576,97.8,97.8
"TO",67,0.601,100,100
