"gauge_code","estado","lat","long","time_step","network","n_viz","dist_nn_km","dist_k_med_km","mes_moda","f_moda","rbar_local","classe_espacial","mes_inicio","fonte_inicio","mes_inicio_nome"
"14680001","RR",2.8708,-61.4406,15,"Telemetria",10,0.1,85.85,12,0.7,0.971,"mancha",12,"moda_mancha","dez"
"150619502A","PA",-4.099531,-54.910166,10,"CEMADEN",10,1.2,133.51,8,0.8,0.973,"mancha",8,"moda_mancha","ago"
"15318000","RO",-10.3475,-65.3569,15,"Telemetria",10,49.41,208.87,7,0.6,0.967,"mancha",7,"moda_mancha","jul"
"210232501A","MA",-4.31779,-46.45999,10,"CEMADEN",10,4.28,80.66,8,0.6,0.967,"mancha",8,"moda_mancha","ago"
"210350501A","MA",-6.03192,-44.24784,10,"CEMADEN",10,0.83,47.87,8,0.7,0.971,"mancha",8,"moda_mancha","ago"
"211130008A","MA",-2.55193,-44.22401,10,"CEMADEN",10,2.89,82.14,9,0.6,0.946,"mancha",9,"moda_mancha","set"
"211210001A","MA",-4.25536,-43.93945,10,"CEMADEN",10,23.13,41.38,9,0.7,0.971,"mancha",9,"moda_mancha","set"
"230390701A","CE",-3.035505,-41.238371,10,"CEMADEN",10,0.61,46.56,9,1,1,"mancha",9,"moda_mancha","set"
"230540702A","CE",-6.4,-38.859,10,"CEMADEN",10,1,17.78,9,0.8,0.978,"mancha",9,"moda_mancha","set"
"230765004A","CE",-3.861673,-38.623954,10,"CEMADEN",10,4.38,12.21,9,0.7,0.971,"mancha",9,"moda_mancha","set"
"230980501A","CE",-4.225654,-38.919779,10,"CEMADEN",10,1.05,11.9,10,0.7,0.971,"mancha",10,"moda_mancha","out"
"231180101A","CE",-4.92271,-37.97669,10,"CEMADEN",10,1.62,23.48,9,0.9,0.988,"mancha",9,"moda_mancha","set"
"240810206A","RN",-5.823,-35.258,10,"CEMADEN",10,5.25,26.84,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250180701A","PB",-7.122,-34.906,10,"CEMADEN",10,2.59,15.26,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250180702A","PB",-7.133,-34.94,10,"CEMADEN",10,4.83,13.22,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250180703A","PB",-7.148,-34.923,10,"CEMADEN",10,5.61,13.12,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250400901A","PB",-7.207,-35.886,10,"CEMADEN",10,2.89,17.55,10,0.5,0.945,"mancha",10,"moda_mancha","out"
"250400902A","PB",-7.244,-35.874,10,"CEMADEN",10,3.28,15.24,10,0.6,0.967,"mancha",10,"moda_mancha","out"
"250400903A","PB",-7.252,-35.895,10,"CEMADEN",10,2.5,15.35,10,0.6,0.952,"mancha",10,"moda_mancha","out"
"250400904A","PB",-7.249,-35.917,10,"CEMADEN",10,2.83,15.92,10,0.6,0.952,"mancha",10,"moda_mancha","out"
"250400906A","PB",-7.274,-35.932,10,"CEMADEN",10,6.04,16.38,10,0.7,0.961,"mancha",10,"moda_mancha","out"
"250750701A","PB",-7.166,-34.882,10,"CEMADEN",10,5.47,15.17,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250750702A","PB",-7.184,-34.859,10,"CEMADEN",10,7.94,18.16,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250750705A","PB",-7.124,-34.847,10,"CEMADEN",10,3.19,19.64,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250750707A","PB",-7.119,-34.886,10,"CEMADEN",10,0.39,16.81,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"250980001A","PB",-7.031,-35.462,10,"CEMADEN",10,0.7,18,11,0.7,0.971,"mancha",11,"moda_mancha","nov"
"251530201A","PB",-7.098,-35.224,10,"CEMADEN",10,0.62,18.45,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"260130001A","PE",-8.418,-35.664,10,"CEMADEN",10,13.76,37.46,11,0.4,0.889,"mancha",11,"moda_mancha","nov"
"260345404A","PE",-8.021425,-34.987566,10,"CEMADEN",10,5.26,10.73,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"260410601A","PE",-8.285,-35.976,10,"CEMADEN",10,1.05,30.9,9,0.5,0.941,"mancha",9,"moda_mancha","set"
"260590501A","PE",-8.587,-35.386,10,"CEMADEN",10,10.54,29.43,11,0.7,0.961,"mancha",11,"moda_mancha","nov"
"260620001A","PE",-7.531555,-34.996284,10,"CEMADEN",10,2.73,20.55,11,0.8,0.973,"mancha",11,"moda_mancha","nov"
"260680403A","PE",-7.807,-34.933,10,"CEMADEN",10,23.49,27.09,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"260790108A","PE",-8.07105,-34.99392,10,"CEMADEN",10,3.96,12.27,11,1,1,"mancha",11,"moda_mancha","nov"
"260940202A","PE",-8.118,-35.101,10,"CEMADEN",10,10.61,18.06,11,1,1,"mancha",11,"moda_mancha","nov"
"260950102A","PE",-7.730698,-35.232556,10,"CEMADEN",10,13.11,20.65,11,0.8,0.973,"mancha",11,"moda_mancha","nov"
"260960005A","PE",-7.973,-34.868,10,"CEMADEN",10,6.91,19.32,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"261150701A","PE",-8.83,-36.013,10,"CEMADEN",10,4.36,27.25,11,0.7,0.961,"mancha",11,"moda_mancha","nov"
"261160614A","PE",-8.013,-34.881,10,"CEMADEN",10,2.27,17.94,11,1,1,"mancha",11,"moda_mancha","nov"
"261160621A","PE",-8.102,-34.929,10,"CEMADEN",10,5.79,17.5,11,1,1,"mancha",11,"moda_mancha","nov"
"261290101A","PE",-8.812,-35.932,10,"CEMADEN",10,11.04,25.84,11,0.7,0.961,"mancha",11,"moda_mancha","nov"
"261370103A","PE",-7.979,-35.073,10,"CEMADEN",10,2.6,17.24,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"270210801A","AL",-8.909571,-35.716296,10,"CEMADEN",10,0.79,33.45,11,0.5,0.966,"mancha",11,"moda_mancha","nov"
"270430210A","AL",-9.552,-35.727,10,"CEMADEN",10,4.77,15.6,11,0.7,0.971,"mancha",11,"moda_mancha","nov"
"270430213A","AL",-9.573,-35.741,10,"CEMADEN",10,4.03,15.82,11,0.7,0.971,"mancha",11,"moda_mancha","nov"
"270510101A","AL",-9.15748,-35.53084,10,"CEMADEN",10,1.87,23.34,11,0.5,0.966,"mancha",11,"moda_mancha","nov"
"270660401A","AL",-9.371,-36.372,10,"CEMADEN",10,8.86,23.45,11,0.7,0.961,"mancha",11,"moda_mancha","nov"
"270890701A","AL",-9.574,-35.824,10,"CEMADEN",10,1.31,11.24,11,0.8,0.978,"mancha",11,"moda_mancha","nov"
"280400301A","SE",-10.734,-37.083,10,"CEMADEN",10,11.13,20.96,11,0.9,0.988,"mancha",11,"moda_mancha","nov"
"290560202A","BA",-15.374,-39.489,10,"CEMADEN",10,5.71,36.01,7,0.8,0.947,"mancha",7,"moda_mancha","jul"
"291180801A","BA",-16.582916,-39.780555,10,"CEMADEN",10,0.37,64.16,6,0.5,0.966,"mancha",6,"moda_mancha","jun"
"291345701A","BA",-13.819025,-39.141885,10,"CEMADEN",10,3.17,42.96,1,0.2,0.423,"transicao",9,"media_circ_ponderada","set"
"291360602A","BA",-14.782697,-39.103569,10,"CEMADEN",10,16.65,42.28,7,0.5,0.82,"mancha",7,"moda_mancha","jul"
"291480202A","BA",-14.805,-39.277,10,"CEMADEN",10,15.39,29.42,7,0.5,0.82,"mancha",7,"moda_mancha","jul"
"292770501A","BA",-16.321,-39.023,10,"CEMADEN",10,52.17,70.64,7,0.4,0.777,"mancha",7,"moda_mancha","jul"
"311330501A","MG",-20.728,-42.03,10,"CEMADEN",10,1.49,27.86,7,0.8,0.978,"mancha",7,"moda_mancha","jul"
"311330502A","MG",-20.726,-42.147,10,"CEMADEN",10,13.75,31.81,7,0.8,0.978,"mancha",7,"moda_mancha","jul"
"311410501A","MG",-22.1204,-45.13472,10,"CEMADEN",10,9.41,19.93,7,0.8,0.899,"mancha",7,"moda_mancha","jul"
"311450101A","MG",-20.54264,-44.64601,10,"CEMADEN",10,24.64,34.48,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"312420302A","MG",-20.42158,-41.8535,10,"CEMADEN",10,13.15,30.15,7,0.7,0.971,"mancha",7,"moda_mancha","jul"
"312770106A","MG",-18.842,-41.943,10,"CEMADEN",10,1.4,36.68,7,0.7,0.971,"mancha",7,"moda_mancha","jul"
"313130702A","MG",-19.476,-42.58,10,"CEMADEN",10,8.94,42.79,7,0.7,0.971,"mancha",7,"moda_mancha","jul"
"313170302A","MG",-19.654,-43.209,10,"CEMADEN",10,3.97,30.38,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"313170303A","MG",-19.627,-43.208,10,"CEMADEN",10,1.54,33.14,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"313170305A","MG",-19.622,-43.43,10,"CEMADEN",10,18.84,36.35,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"313170306A","MG",-19.513,-43.374,10,"CEMADEN",10,20.82,39.53,7,1,1,"mancha",7,"moda_mancha","jul"
"313240401A","MG",-22.412335,-45.435862,10,"CEMADEN",10,4.26,23.09,7,1,1,"mancha",7,"moda_mancha","jul"
"313620703A","MG",-19.845,-43.18,10,"CEMADEN",10,5.24,26.16,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"313620704A","MG",-19.828,-43.158,10,"CEMADEN",10,2.19,27.03,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"313770001A","MG",-20.15,-41.615,10,"CEMADEN",10,13.41,39.37,7,0.8,0.978,"mancha",7,"moda_mancha","jul"
"313780901A","MG",-21.97453,-45.34852,10,"CEMADEN",10,4.8,25.93,7,0.9,0.988,"mancha",7,"moda_mancha","jul"
"315250105A","MG",-22.21,-45.906,10,"CEMADEN",10,7.1,24.18,7,1,1,"mancha",7,"moda_mancha","jul"
"315680901A","MG",-18.666,-43.08,10,"CEMADEN",10,20.3,55.85,7,0.8,0.978,"mancha",7,"moda_mancha","jul"
"316600601A","MG",-20.79777,-43.35336,10,"CEMADEN",10,13.32,48.53,7,1,1,"mancha",7,"moda_mancha","jul"
"320130811A","ES",-20.361,-40.373,10,"CEMADEN",10,7.44,25.96,7,0.6,0.967,"mancha",7,"moda_mancha","jul"
"320220702A","ES",-19.935,-40.408,10,"CEMADEN",10,0.76,24.82,6,0.9,0.988,"mancha",6,"moda_mancha","jun"
"320320501A","ES",-19.406,-40.069,10,"CEMADEN",10,1.23,37.1,6,0.9,0.988,"mancha",6,"moda_mancha","jun"
"320390803A","ES",-18.714,-40.407,10,"CEMADEN",10,4.15,29.22,6,0.7,0.971,"mancha",6,"moda_mancha","jun"
"320500213A","ES",-20.211,-40.219,10,"CEMADEN",10,11.32,36.48,6,0.7,0.971,"mancha",6,"moda_mancha","jun"
"320530905A","ES",-20.274,-40.323,10,"CEMADEN",10,5.12,28.5,6,0.6,0.967,"mancha",6,"moda_mancha","jun"
"320530908A","ES",-20.257,-40.268,10,"CEMADEN",10,9.07,32.14,6,0.6,0.967,"mancha",6,"moda_mancha","jun"
"330010003A","RJ",-22.933,-44.387,10,"CEMADEN",10,0.62,21.61,7,0.5,0.966,"mancha",7,"moda_mancha","jul"
"330190008A","RJ",-22.837,-42.882,10,"CEMADEN",10,12.05,35.16,8,0.7,0.971,"mancha",8,"moda_mancha","ago"
"330200704A","RJ",-22.9213,-43.8504,10,"CEMADEN",10,2.69,24.91,7,0.6,0.967,"mancha",7,"moda_mancha","jul"
"330270001A","RJ",-22.906,-42.815,10,"CEMADEN",10,9.22,40.71,8,0.6,0.967,"mancha",8,"moda_mancha","ago"
"330455711A","RJ",-22.8897,-43.7175,10,"CEMADEN",10,4.54,27.52,8,0.6,0.967,"mancha",8,"moda_mancha","ago"
"330455728A","RJ",-22.86086,-43.30756,10,"CEMADEN",10,10.88,12.92,8,0.7,0.914,"mancha",8,"moda_mancha","ago"
"330455729A","RJ",-22.9666,-43.2965,10,"CEMADEN",10,1.93,12.86,8,0.7,0.914,"mancha",8,"moda_mancha","ago"
"330455734A","RJ",-22.7613,-43.1084,10,"CEMADEN",10,17.33,20.04,8,0.5,0.941,"mancha",8,"moda_mancha","ago"
"330580204A","RJ",-22.428,-42.962,10,"CEMADEN",10,1.65,22.05,7,1,1,"mancha",7,"moda_mancha","jul"
