"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"02142096","São Sebastião da Vargem Alegre","MG",-21.0725,-42.63694,15,"Telemetria",1
"10100000","Tabatinga","AM",-4.2347,-69.9447,15,"Telemetria",2
"10200000","Atalaia do Norte","AM",-5.1389,-72.8136,15,"Telemetria",1
"10500000","Atalaia do Norte","AM",-4.3408,-70.9056,15,"Telemetria",2
"10910000","Atalaia do Norte","AM",-4.5836,-70.2644,15,"Telemetria",2
"110018901A","Pimenta Bueno","RO",-11.683234,-61.182871,10,"CEMADEN",2
"110020501A","Porto Velho","RO",-8.742165,-63.904242000000004,10,"CEMADEN",1
"11500000","Santo Antônio do Içá","AM",-3.1017,-67.9356,15,"Telemetria",2
"120010401A","Brasilãòia","AC",-11.012469,-68.740939,10,"CEMADEN",2
"120070801A","Xapuri","AC",-10.665833,-68.485844,10,"CEMADEN",3
"12100000","Jutaí","AM",-4.6661,-68.1483,15,"Telemetria",3
"12240000","Jutaí","AM",-3.3372,-67.4917,15,"Telemetria",1
"12351000","Fonte Boa","AM",-2.4914,-66.0617,15,"Telemetria",4
"12370000","Marechal Thaumaturgo","AC",-8.9458,-72.7847,15,"Telemetria",2
"12500000","Cruzeiro do Sul","AC",-7.6333,-72.6603,15,"Telemetria",1
"12510500","Tarauacá","AC",-7.7994,-72.0211,15,"Telemetria",4
"12520000","Ipixuna","AM",-7.0556,-71.6892,15,"Telemetria",3
"12540000","Eirunepé","AM",-7.2667,-70.9833,15,"Telemetria",3
"12590000","Tarauacá","AC",-8.1519,-70.7456,15,"Telemetria",3
"12640000","Feijó","AC",-8.6858,-70.5511,15,"Telemetria",2
"12680000","Envira","AM",-7.4281,-70.0225,15,"Telemetria",2
"12700000","Itamarati","AM",-6.4403,-68.2461,15,"Telemetria",2
"12840000","Carauari","AM",-4.8392,-66.8506,15,"Telemetria",3
"12842000","Juruá","AM",-3.6414,-66.1031,15,"Telemetria",3
"12850000","Japurá","AM",-1.8211,-66.6092,15,"Telemetria",5
"12880000","Tefé","AM",-4.2922,-65.2017,15,"Telemetria",1
"12900001","Tefé","AM",-3.3758,-64.6547,15,"Telemetria",3
"130002901A","Alvarães","AM",-3.21726,-64.817575,10,"CEMADEN",2
"130006001A","Amaturá","AM",-3.362268,-68.195543,10,"CEMADEN",2
"130008601A","Anamã","AM",-3.577152,-61.405939,10,"CEMADEN",1
"130010201A","Anori","AM",-3.751697,-61.65659300000001,10,"CEMADEN",1
"130014401A","Apuí","AM",-7.203119,-59.884533,10,"CEMADEN",5
"130020101A","Atalaia do Norte","AM",-4.368739,-70.190375,10,"CEMADEN",2
"130050801A","Barreirinha","AM",-2.804158,-57.067483,10,"CEMADEN",1
"130060701A","Benjamin Constant","AM",-4.381819,-70.02494,10,"CEMADEN",1
"130063101A","Beruri","AM",-3.897444,-61.375528,10,"CEMADEN",6
"130063102A","Beruri","AM",-3.905389,-61.372528,10,"CEMADEN",3
"130090401A","Canutama","AM",-6.534983,-64.386548,10,"CEMADEN",1
"130110002A","Careiro","AM",-3.8155,-60.357306,10,"CEMADEN",2
"130115901A","Careiro da Várzea","AM",-3.198385,-59.824914,10,"CEMADEN",2
"130160501A","Fonte Boa","AM",-2.514972,-66.103833,10,"CEMADEN",4
"130165401A","Guajará","AM",-7.546047,-72.58672,10,"CEMADEN",2
"130170401A","Humaitá","AM",-7.5022,-63.0281,10,"CEMADEN",2
"130170402A","Humaitá","AM",-7.511,-63.0315,10,"CEMADEN",3
"130190203A","Itacoatiara","AM",-3.140605,-58.452012,10,"CEMADEN",1
"130220701A","Juruá","AM",-3.47309,-66.064266,10,"CEMADEN",2
"130250406A","Manacapuru","AM",-3.261172,-60.631204,10,"CEMADEN",2
"130260302H","Manaus","AM",-3.091422,-60.015121,10,"CEMADEN",1
"130260310A","Manaus","AM",-3.086712,-59.883273,10,"CEMADEN",1
"130260328A","Manaus","AM",-3.099516,-60.015988,10,"CEMADEN",1
"130260332A","Manaus","AM",-3.059128,-59.844910999999996,10,"CEMADEN",1
"130260333A","Manaus","AM",-3.124403,-59.940003,10,"CEMADEN",2
"130310601A","Nova Olinda do Norte","AM",-3.886113,-59.090002,10,"CEMADEN",1
"130330401A","Novo Aripuanã","AM",-5.118333,-60.376222,10,"CEMADEN",1
"130340301A","Parintins","AM",-2.628044,-56.726179,10,"CEMADEN",3
"130340302A","Parintins","AM",-2.634509,-56.743917,10,"CEMADEN",3
"130353602A","Presidente Figueiredo","AM",-2.048026,-60.018095,10,"CEMADEN",2
