"x","y","mes_oposto","mes_relatorio","rbar","confia_theta","mes_hibrido_rbar","fonte_hibrido_rbar","mes_hibrido_nome"
-60.249998474121085,5.249999908768401,12,3,0.3367477059364319,TRUE,12,"theta_pi","dez"
-60.64999847412109,5.149999912904233,12,3,0.3283921778202057,TRUE,12,"theta_pi","dez"
-60.54999847412109,5.149999912904233,11,3,0.3556046485900879,TRUE,11,"theta_pi","nov"
-60.44999847412109,5.149999912904233,11,3,0.37863612174987793,TRUE,11,"theta_pi","nov"
-60.34999847412109,5.149999912904233,12,3,0.34431880712509155,TRUE,12,"theta_pi","dez"
-60.249998474121085,5.149999912904233,11,3,0.3246488869190216,TRUE,11,"theta_pi","nov"
-60.14999847412109,5.149999912904233,12,3,0.3109860122203827,TRUE,12,"theta_pi","dez"
-60.54999847412109,5.049999917040066,12,3,0.34711888432502747,TRUE,12,"theta_pi","dez"
-60.44999847412109,5.049999917040066,11,3,0.3613826036453247,TRUE,11,"theta_pi","nov"
-60.34999847412109,5.049999917040066,12,3,0.34622281789779663,TRUE,12,"theta_pi","dez"
-60.249998474121085,5.049999917040066,12,3,0.3246825337409973,TRUE,12,"theta_pi","dez"
-60.14999847412109,5.049999917040066,11,3,0.30358532071113586,TRUE,11,"theta_pi","nov"
-60.04999847412109,5.049999917040066,11,3,0.3055742681026459,TRUE,11,"theta_pi","nov"
-60.54999847412109,4.949999921175898,12,3,0.34915581345558167,TRUE,12,"theta_pi","dez"
-60.44999847412109,4.949999921175898,11,3,0.36691850423812866,TRUE,11,"theta_pi","nov"
-60.34999847412109,4.949999921175898,11,3,0.34855175018310547,TRUE,11,"theta_pi","nov"
-60.249998474121085,4.949999921175898,12,3,0.3344308137893677,TRUE,12,"theta_pi","dez"
-60.14999847412109,4.949999921175898,12,3,0.30499884486198425,TRUE,12,"theta_pi","dez"
-60.04999847412109,4.949999921175898,12,3,0.29268163442611694,FALSE,3,"ultimo_mes_seco","mar"
-60.64999847412109,4.849999925311731,12,3,0.33151891827583313,TRUE,12,"theta_pi","dez"
-60.54999847412109,4.849999925311731,12,3,0.3454364538192749,TRUE,12,"theta_pi","dez"
-60.44999847412109,4.849999925311731,12,3,0.3578242063522339,TRUE,12,"theta_pi","dez"
-60.34999847412109,4.849999925311731,11,3,0.3535838723182678,TRUE,11,"theta_pi","nov"
-60.249998474121085,4.849999925311731,11,3,0.3337167501449585,TRUE,11,"theta_pi","nov"
-60.14999847412109,4.849999925311731,12,3,0.30608296394348145,TRUE,12,"theta_pi","dez"
-60.04999847412109,4.849999925311731,12,3,0.3146660625934601,TRUE,12,"theta_pi","dez"
-60.749998474121085,4.749999929447563,12,3,0.37794962525367737,TRUE,12,"theta_pi","dez"
-60.64999847412109,4.749999929447563,12,3,0.3528197705745697,TRUE,12,"theta_pi","dez"
-60.54999847412109,4.749999929447563,12,3,0.34648749232292175,TRUE,12,"theta_pi","dez"
-60.44999847412109,4.749999929447563,11,3,0.3432466685771942,TRUE,11,"theta_pi","nov"
-60.34999847412109,4.749999929447563,11,3,0.35124388337135315,TRUE,11,"theta_pi","nov"
-60.249998474121085,4.749999929447563,12,3,0.307888925075531,TRUE,12,"theta_pi","dez"
-60.14999847412109,4.749999929447563,12,3,0.3153187036514282,TRUE,12,"theta_pi","dez"
-60.04999847412109,4.749999929447563,12,3,0.3208978474140167,TRUE,12,"theta_pi","dez"
