gauge_code,city,state,lat,long,elevation,network,responsible,data_inicio,data_fim,n_dias_com_dado,n_dias_periodo,pct_completude,n_anos,n_dias_chuva,chuva_total_mm,chuva_media_diaria_mm,chuva_max_diaria_mm,data_chuva_max,time_step
1069000,Assis Brasil,AC,-10.9436,-69.5656,234,Hidroweb diário,SGB-CPRM,1980-06-15,2025-11-30,14986,16605,90.2,45.5,3397,65226.7,4.35,363.4,2019-03-07,1440
1168000,Brasiléia,AC,-11.0233,-68.735,260,Hidroweb diário,INMET,1970-05-04,1970-09-30,150,150,100,0.4,24,356,2.37,67.2,1970-06-23,1440
1168001,Brasiléia,AC,-11.0233,-68.735,225,Hidroweb diário,SGB-CPRM,1980-10-28,2025-11-30,15260,16470,92.7,45.1,4042,64092.2,4.2,175.3,2023-01-15,1440
968004,Bujari,AC,-9.5667,-68.2833,183,Hidroweb diário,SGB-CPRM,1992-08-27,2025-11-30,11377,12149,93.6,33.3,3506,59876.9,5.26,198,2020-09-25,1440
1067003,Capixaba,AC,-10.5758,-67.6767,207,Hidroweb diário,SGB-CPRM,1992-08-11,2025-11-30,11431,12165,94,33.3,2653,52333.9,4.58,197.7,2016-08-09,1440
1067005,Capixaba,AC,-10.3886,-67.9353,146,Hidroweb diário,SGB-CPRM,2015-06-19,2016-02-29,255,256,99.6,0.7,59,1110.8,4.36,78.2,2016-01-03,1440
772000,Cruzeiro do Sul,AC,-7.6111,-72.6811,170,Hidroweb diário,INMET,1961-01-01,1996-04-30,8135,12904,63,35.3,3246,47844.6,5.88,126.6,1988-04-25,1440
772004,Cruzeiro do Sul,AC,-7.6472,-72.6769,170,Hidroweb diário,ÁGUA E SOLO,2015-10-09,2025-04-30,3418,3492,97.9,9.6,1411,22002.1,6.44,334,2022-12-27,1440
772007,Cruzeiro do Sul,AC,-7.9728,-72.0442,183,Hidroweb diário,CONSTRUFAM,2017-09-01,2018-02-28,180,181,99.4,0.5,63,823.2,4.57,43.3,2017-10-12,1440
773000,Cruzeiro do Sul,AC,-7.4356,-73.6522,240,Hidroweb diário,ÁGUA E SOLO,1976-03-19,2024-10-31,16481,17759,92.8,48.6,7062,107431.1,6.52,180.7,2022-09-15,1440
773001,Cruzeiro do Sul,AC,-7.3856,-73.085,217,Hidroweb diário,ANA,1992-08-13,2012-06-09,6744,7241,93.1,19.8,1665,23394.2,3.47,111,1995-10-11,1440
773002,Cruzeiro do Sul,AC,-7.4125,-73.1914,196,Hidroweb diário,ÁGUA E SOLO,2005-09-08,2024-10-31,4064,6994,58.1,19.1,1048,16431.9,4.04,308.4,2023-11-03,1440
82704,Cruzeiro do Sul,AC,-7.61083333,-72.68138888,214.19,INMET diário,INMET,1961-01-02,2016-01-29,16885,20116,83.9,55.1,6798,100852.9,5.97,160.6,2005-03-25,1440
873001,Cruzeiro do Sul,AC,-8.235,-73.3006,220,Hidroweb diário,ANA,1997-02-28,2012-02-29,5051,5480,92.2,15,1678,24538.7,4.86,101.1,2001-06-04,1440
1068002,Epitaciolândia,AC,-10.8956,-68.6081,184,Hidroweb diário,SGB-CPRM,2016-07-26,2017-10-31,370,463,79.9,1.3,63,1181.2,3.19,90.9,2017-03-17,1440
83010,Epitaciolândia,AC,-11.01999999,-68.72999999,260,INMET diário,INMET,1970-05-05,1974-12-31,1506,1702,88.5,4.7,388,6511.9,4.32,98,1972-02-19,1440
870002,Feijó,AC,-8.1636,-70.3564,249,Hidroweb diário,ÁGUA E SOLO,1980-09-26,2025-03-31,13675,16258,84.1,44.5,4501,74437,5.44,297.9,2021-03-10,1440
870003,Feijó,AC,-8.6858,-70.5511,197,Hidroweb diário,ÁGUA E SOLO,1996-05-17,2024-12-31,8717,10456,83.4,28.6,2027,49418.5,5.67,707,2021-08-30,1440
970000,Feijó,AC,-9.1333,-70.8167,215,Hidroweb diário,ANA,1980-09-29,1990-05-31,3186,3532,90.2,9.7,1137,16536.2,5.19,131.4,1985-12-24,1440
871002,Jordão,AC,-8.6611,-71.5744,222,Hidroweb diário,CONSTRUFAM,2011-01-01,2017-05-31,981,2343,41.9,6.4,485,9507.3,9.69,92.2,2017-03-31,1440
971001,Jordão,AC,-9.4333,-71.8833,311,Hidroweb diário,ANA,1989-01-01,1993-05-21,1296,1602,80.9,4.4,405,5682.3,4.38,100.6,1990-04-01,1440
869000,Manoel Urbano,AC,-8.8842,-69.2681,168,Hidroweb diário,SGB-CPRM,1981-11-28,2025-11-30,13248,16074,82.4,44,4315,75526.8,5.7,220.5,2011-08-20,1440
969000,Manoel Urbano,AC,-9.35,-69.9167,181,Hidroweb diário,ANA,1982-07-29,1989-03-31,2210,2438,90.6,6.7,1024,14909.5,6.75,176,1989-03-08,1440
969002,Manoel Urbano,AC,-9.3603,-69.9275,182,Hidroweb diário,CONSTRUFAM,2017-03-27,2017-07-31,98,127,77.2,0.3,19,196.3,2,55,2017-07-18,1440
872000,Marechal Thaumaturgo,AC,-8.9353,-72.785,212,Hidroweb diário,ÁGUA E SOLO,1980-12-13,2025-01-31,14999,16121,93,44.1,4331,63227.4,4.22,647.8,2023-01-21,1440
972000,Marechal Thaumaturgo,AC,-9.4017,-72.7025,266,Hidroweb diário,ÁGUA E SOLO,1982-06-20,2025-07-31,14740,15748,93.6,43.1,4718,76863.8,5.21,285.3,1989-01-18,1440
1067000,Plácido de Castro,AC,-10.3239154,-67.1824196,132,Hidroweb diário,ANA,1982-07-19,1991-02-28,2691,3147,85.5,8.6,877,21074.1,7.83,131.6,1989-02-20,1440
1067002,Plácido de Castro,AC,-10.3242,-67.1886,138,Hidroweb diário,SGB-CPRM,1993-05-19,2025-11-30,10709,11884,90.1,32.5,2451,49325.1,4.61,368.8,2023-02-16,1440
872001,Porto Walter,AC,-8.2675,-72.7344,211,Hidroweb diário,ÁGUA E SOLO,1982-06-17,2024-07-31,14115,15386,91.7,42.1,4292,94233.6,6.68,220.4,2015-01-22,1440
