"gauge_code","estado","n_anos_aceitos","na_mediano_pct","na_max_pct"
"110018901A","RO",1,1.6222677595628416,1.6222677595628416
"120070801A","AC",2,8.279395497001603,9.513509411050395
"130002901A","AM",1,14.244672754946727,14.244672754946727
"130006001A","AM",1,6.132039573820395,6.132039573820395
"130014401A","AM",4,3.2330160274804336,12.794901065449011
"130020101A","AM",1,7.673135464231355,7.673135464231355
"130063101A","AM",4,10.218324516971498,19.339802130898022
"130063102A","AM",2,12.76701464264624,13.510273972602741
"130160501A","AM",2,6.888993895085294,8.534456587735276
"130165401A","AM",1,7.55517503805175,7.55517503805175
"130220701A","AM",1,9.859208523592084,9.859208523592084
"130340301A","AM",2,3.4246575342465753,3.512176560121766
"130340302A","AM",1,4.800228310502283,4.800228310502283
"130353602A","AM",1,2.792998477929985,2.792998477929985
"130356901A","AM",1,1.4649923896499237,1.4649923896499237
"130390801A","AM",1,3.426560121765601,3.426560121765601
"130406201A","AM",1,13.647260273972602,13.647260273972602
"130406202A","AM",2,5.01617199391172,6.01027397260274
"130420301A","AM",2,7.30696014339064,10.363539769277475
"140010001A","RR",2,6.591514459665144,11.204337899543379
"140010002A","RR",2,6.8141171993911716,12.300228310502282
"140010003A","RR",2,12.822808281558002,14.349954462659381
"140010004A","RR",2,7.107435374404273,10.877732240437158
"140010005A","RR",2,5.37174792690737,9.897260273972602
"140070401A","RR",1,14.558667273831208,14.558667273831208
"150010703A","PA",1,6.678082191780822,6.678082191780822
"150040402A","PA",1,0.9969558599695586,0.9969558599695586
"150050302A","PA",4,7.922374429223744,17.76904978749241
"150060202A","PA",3,3.5803734061930785,4.796423135464231
"150060203A","PA",2,4.5640969259176085,4.807838660578387
"150100601A","PA",5,5.235920852359208,12.515179113539771
"150120401A","PA",5,1.2842465753424657,1.950152207001522
"150140203A","PA",3,2.994672754946728,10.435692541856925
"150140204A","PA",5,2.212709284627093,5.28422890103218
"150140207A","PA",1,1.552511415525114,1.552511415525114
"150140210A","PA",3,2.657914764079148,5.1693302891933035
"150295401A","PA",2,1.269215614109506,1.2880517503805176
"150350701A","PA",1,0.3491196114146934,0.3491196114146934
"150350702A","PA",2,0.9550989345509893,1.6552511415525113
"150360601A","PA",3,7.454337899543378,18.47108378870674
"150380401A","PA",1,2.6445966514459665,2.6445966514459665
"150390301A","PA",3,0.9931506849315069,2.212355798421372
"150420801A","PA",3,1.0083713850837137,1.2728310502283104
"150420802A","PA",1,0.020928462709284626,0.020928462709284626
"150420803A","PA",1,0.020928462709284626,0.020928462709284626
"150420804A","PA",1,0.020928462709284626,0.020928462709284626
"150420806A","PA",4,1.5458523592085236,2.031963470319635
"150480202A","PA",2,6.019786910197869,6.4193302891933035
"150497601A","PA",2,0.64117199391172,1.2614155251141552
"150553601A","PA",1,0.020928462709284626,0.020928462709284626
"150553602A","PA",2,0.9693683409436835,1.9178082191780823
"150553603A","PA",2,0.8171613394216135,1.6133942161339423
"150553604A","PA",4,1.3632039573820396,1.6355494839101397
"150600501A","PA",1,5.69634703196347,5.69634703196347
"150619502A","PA",6,5.408299960076852,9.853500761035008
"150680702A","PA",1,6.560121765601218,6.560121765601218
"150680703A","PA",1,5.441400304414003,5.441400304414003
"150680704A","PA",6,2.7996575342465753,5.6316590563165905
"150745801A","PA",2,6.252853881278539,10.165525114155251
"150780501A","PA",4,3.0156012176560125,3.8337138508371384
"150805001A","PA",2,8.92123287671233,13.759512937595128
"150810001A","PA",2,0.9138969982783143,1.605191256830601
"160030303A","AP",1,8.337138508371385,8.337138508371385
"160030305A","AP",1,3.9497716894977173,3.9497716894977173
"160060002A","AP",1,0.9665144596651446,0.9665144596651446
"160060003A","AP",1,5.918949771689498,5.918949771689498
"170210901A","TO",3,1.9767884322678846,2.0053272450532726
"170210903A","TO",3,1.8340943683409434,1.904490106544901
"170220801A","TO",2,4.810692541856926,5.462328767123288
"170730601A","TO",1,2.804341226472374,2.804341226472374
"170820501A","TO",1,3.595890410958904,3.595890410958904
"171820401A","TO",1,6.295537340619307,6.295537340619307
"171830301A","TO",3,1.719939117199391,2.037671232876712
"171886501A","TO",2,1.492579908675799,1.9406392694063925
"172030901A","TO",1,9.503424657534246,9.503424657534246
"172210701A","TO",1,15.038051750380518,15.038051750380518
"210050102A","MA",2,3.2429604261796046,3.4779299847792995
"210083201A","MA",4,4.815150106877594,7.106164383561644
"210090701A","MA",4,2.2735920852359213,11.3603500761035
"210130101A","MA",5,2.134703196347032,6.898782343987824
"210140001A","MA",3,2.6560121765601217,2.7587519025875187
"210177201A","MA",5,1.2766362252663623,1.8816590563165907
"210180601A","MA",3,2.1194824961948253,3.3124048706240488
"210220001A","MA",4,2.2421993911719937,4.737442922374429
"210232501A","MA",5,5.714936247723133,17.728310502283104
"210300001A","MA",3,1.2788403157255617,2.1537290715372905
"210300002A","MA",1,2.1004566210045663,2.1004566210045663
"210300003A","MA",4,1.9121004566210045,2.0757229832572297
"210315801A","MA",2,11.562094530528732,12.75875190258752
"210320802A","MA",1,1.158675799086758,1.158675799086758
"210330701A","MA",3,1.1624809741248097,2.726407914764079
"210330702A","MA",2,2.9328386605783865,3.7290715372907153
"210340601A","MA",4,3.93331118846221,5.9322678843226795
"210340602A","MA",1,1.4554794520547945,1.4554794520547945
"210350501A","MA",7,3.1819216757741344,9.113394216133942
"210355401A","MA",1,2.0053272450532726,2.0053272450532726
"210360401A","MA",4,5.522733321689082,15.953196347031964
"210390101A","MA",2,1.995814307458143,2.9813546423135464
"210400801A","MA",1,0.5574581430745814,0.5574581430745814
"210410701A","MA",1,2.2184170471841704,2.2184170471841704
"210420601A","MA",1,1.5410958904109588,1.5410958904109588
"210510401A","MA",5,1.8954918032786885,11.493531202435312
"210515301A","MA",3,1.708523592085236,5.718731026108075
"210530201A","MA",4,5.529870624048707,8.363691560412873
"210530202A","MA",1,2.617960426179604,2.617960426179604
"210530203A","MA",1,1.9463470319634704,1.9463470319634704
"210530204A","MA",1,4.8363774733637745,4.8363774733637745
"210540101A","MA",1,1.0502283105022832,1.0502283105022832
"210545001A","MA",5,2.9185692541856927,5.873287671232877
"210570801A","MA",2,4.170471841704718,4.535768645357686
"210580701A","MA",4,4.168569254185693,5.978673345476624
"210594801A","MA",3,1.799847792998478,2.6617199391171997
"210596302A","MA",1,3.0117960426179606,3.0117960426179606
"210630001A","MA",1,3.1145357686453576,3.1145357686453576
"210635902A","MA",1,1.9863013698630139,1.9863013698630139
"210660701A","MA",4,2.0757229832572297,3.1697108066971085
"210675501A","MA",1,4.149543378995434,4.149543378995434
"210680501A","MA",3,1.0407153729071539,6.371765601217656
"210690401A","MA",2,7.052686599130007,8.483227079538555
"210760501A","MA",2,1.9549086757990868,2.3249619482496193
"210780301A","MA",3,2.513318112633181,2.8881278538812785
"210845401A","MA",3,4.463470319634704,7.957650273224044
"210890001A","MA",1,10.48896499238965,10.48896499238965
"210910601A","MA",3,4.005388585306617,12.815829528158297
"210930401A","MA",1,8.551533090467517,8.551533090467517
"210960101A","MA",2,9.735540334855404,13.822298325722985
"210975901A","MA",3,2.6940639269406392,7.3182301153612626
"210980901A","MA",2,3.3407253536941393,5.714936247723133
"211000501A","MA",2,10.545091324200914,11.021689497716896
"211010401A","MA",2,6.96494924353952,7.253718882817243
"211060901A","MA",1,1.4231354642313545,1.4231354642313545
"211080701A","MA",6,2.6845509893455097,10.117960426179605
"211130002A","MA",1,1.1700913242009132,1.1700913242009132
"211130004A","MA",2,1.5372907153729072,1.8778538812785388
"211130005A","MA",2,1.6771308980213089,2.3268645357686455
"211130006A","MA",5,2.4238964992389653,3.95738203957382
"211130007A","MA",3,2.6297814207650276,8.835616438356164
"211130008A","MA",5,2.8881278538812785,19.666438979963573
"211130009A","MA",2,2.7054794520547945,3.3713850837138506
"211130010A","MA",5,1.9140030441400304,11.371765601217657
"211150801A","MA",1,1.8036529680365299,1.8036529680365299
"211153202A","MA",2,6.360807528840315,10.082726168791742
"211172201A","MA",2,1.5572678843226788,2.9490106544901065
"211210001A","MA",4,2.3468417047184174,5.110350076103501
"211220901A","MA",4,1.3926940639269407,5.4965753424657535
"211227401A","MA",2,6.0315091365787525,6.036910197869102
"211245601A","MA",2,3.4775219161447546,5.853445658773528
"211270401A","MA",3,4.393074581430746,6.076864535768645
"211280301A","MA",1,2.2964231354642313,2.2964231354642313
"220030101A","PI",1,5.100837138508371,5.100837138508371
"220120001A","PI",1,1.2385844748858448,1.2385844748858448
"220150701A","PI",6,1.8626331811263317,5.821190042501518
"220194501A","PI",4,1.9197108066971078,3.7100456621004563
"220200001A","PI",4,4.760219390173916,15.496575342465754
"220208301A","PI",1,4.237062404870624,4.237062404870624
"220220801A","PI",1,2.692161339421613,2.692161339421613
"220265301A","PI",2,2.180365296803653,4.044901065449011
"220270301A","PI",1,1.2138508371385084,1.2138508371385084
"220390901A","PI",4,1.0140791476407915,2.106164383561644
"220390902A","PI",1,1.982496194824962,1.982496194824962
"220580501A","PI",3,3.670091324200913,5.986262902246509
"220610001A","PI",1,1.5468036529680365,1.5468036529680365
"220620901A","PI",3,1.4764079147640792,2.471461187214612
"220750402A","PI",3,2.8063165905631657,6.487173649058894
"220770201A","PI",2,4.761225266362253,5.57648401826484
"220770202A","PI",1,2.026255707762557,2.026255707762557
"220770203A","PI",2,1.7456240487062402,2.083333333333333
"220830401A","PI",2,2.854832572298326,5.572678843226789
"220915301A","PI",1,14.046372191863995,14.046372191863995
"221005201A","PI",3,6.546803652968036,9.727914389799636
"221100101A","PI",2,10.587650023704368,15.43759512937595
"221100103A","PI",2,2.2450532724505328,3.687214611872146
"221100104A","PI",2,0.9008751902587517,0.9798325722983257
"221110001A","PI",3,1.438221007893139,1.5753424657534247
"221120901A","PI",5,3.6149162861491626,7.92427701674277
"230020001A","CE",4,2.925228310502283,8.185336976320583
"230020002A","CE",1,6.084474885844749,6.084474885844749
"230075401A","CE",1,1.1605783866057837,1.1605783866057837
"230075401H","CE",1,1.1111111111111112,1.1111111111111112
"230075402A","CE",3,1.5368852459016393,2.04337899543379
"230075403A","CE",5,4.988584474885845,11.767607771706132
"230210701A","CE",6,3.2676940639269403,5.574529447480267
"230230501A","CE",2,0.8511635934160076,1.567243472981178
"230240401A","CE",2,1.6257610350076106,2.1366057838660577
"230280002A","CE",1,0.3405631659056317,0.3405631659056317
"230370901A","CE",1,0.9950532724505327,0.9950532724505327
"230370903A","CE",1,4.640410958904109,4.640410958904109
"230370906A","CE",2,1.6352739726027397,2.014840182648402
"230390701A","CE",6,3.0707762557077625,6.710426179604262
"230400401A","CE",2,1.5363394216133943,1.8759512937595129
"230410301A","CE",4,1.7189878234398783,5.3772009714632665
"230410302A","CE",2,1.5477549467275495,2.041476407914764
"230420204H","CE",1,1.0739222829386763,1.0739222829386763
"230440001A","CE",2,0.7580693623108848,1.4704766241651488
"230440004A","CE",2,3.059360730593607,5.251141552511415
"230440005A","CE",3,0.04946727549467276,1.4761687917425623
"230440010A","CE",1,1.4742714025500911,1.4742714025500911
"230440011A","CE",1,0.05707762557077625,0.05707762557077625
