"gauge_code","d","imax","date","wateryear","start_month","na_prct_yr","na_prct_mon","mon_filter","n_max","time_step_min","estado","lat","long","time_step","mes_inicio","mes_inicio_nome","network","classe_espacial","fonte_inicio","metodo_ano_hidro","f_moda","rbar_local","dist_nn_km"
"120010401A",10,6.340000000000001,"2019-03-14 07:20:00",2019,7,0.8045580110497238,0.7956989247311828,"1,2,3,4,5,6,7,8,9,10,11,12",48,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",10,11.44,"2019-12-18 10:10:00",2020,7,0.9128718882817244,0.7815860215053764,"1,2,3,4,5,6,7,8,9,10,11,12",1,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",10,NA,NA,2021,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",10,5.960000000000001,"2022-03-15 07:20:00",2022,7,0.9065639269406393,0.7970430107526881,"1,2,3,4,5,6,7,8,9,10,11,12",10,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",10,8.040000000000004,"2022-10-11 06:20:00",2023,7,0.8151419082125604,0.8095878136200717,"1,2,3,4,5,6,7,8,9,10,11,12",8,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",20,3.1700000000000004,"2019-03-13 21:20:00",2019,7,0.8045580110497238,0.7956989247311828,"1,2,3,4,5,6,7,8,9,10,11,12",108,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",20,6.819999999999993,"2019-12-18 07:30:00",2020,7,0.9128718882817244,0.7815860215053764,"1,2,3,4,5,6,7,8,9,10,11,12",17,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",20,NA,NA,2021,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",20,3.6900000000000004,"2022-03-14 21:20:00",2022,7,0.9065639269406393,0.7970430107526881,"1,2,3,4,5,6,7,8,9,10,11,12",16,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
"120010401A",20,4.380000000000001,"2022-12-02 00:20:00",2023,7,0.8151419082125604,0.7943548387096774,"1,2,3,4,5,6,7,8,9,10,11,12",1,600,"AC",-11.012469,-68.740939,10,7,"jul","CEMADEN","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.37
