"gauge_code","estado","lat","long","time_step","network","classe_espacial","mes_inicio","fonte_inicio","mes_moda","f_moda","rbar_local","dist_nn_km","nome","n_years_zip","responsible","mes_inicio_nome","metodo_ano_hidro"
"02142096","MG",-21.0725,-42.63694,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.8,0.978,13.69,"São Sebastião da Vargem Alegre",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"10100000","AM",-4.2347,-69.9447,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.4,0.784,18.7,"Tabatinga",2,"TELEMETRIA","ago","uniplu_vizinhanca"
"10200000","AM",-5.1389,-72.8136,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.9,0.988,0.16,"Atalaia do Norte",1,"TELEMETRIA","ago","uniplu_vizinhanca"
"10500000","AM",-4.3408,-70.9056,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.6,0.811,8.26,"Atalaia do Norte",2,"TELEMETRIA","ago","uniplu_vizinhanca"
"10910000","AM",-4.5836,-70.2644,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.5,0.797,25.51,"Atalaia do Norte",2,"TELEMETRIA","ago","uniplu_vizinhanca"
"110018901A","RO",-11.683234,-61.182871,10,"CEMADEN","mancha",7,"moda_mancha",7,0.9,0.988,1.04,"Pimenta Bueno",2,"CEMADEN","jul","uniplu_vizinhanca"
"110020501A","RO",-8.742165,-63.904242000000004,10,"CEMADEN","mancha",7,"moda_mancha",7,0.7,0.971,3.05,"Porto Velho",1,"CEMADEN","jul","uniplu_vizinhanca"
"11500000","AM",-3.1017,-67.9356,15,"TELEMETRIA","mancha",9,"moda_mancha",9,0.4,0.77,0.1,"Santo Antônio do Içá",2,"TELEMETRIA","set","uniplu_vizinhanca"
"120010401A","AC",-11.012469,-68.740939,10,"CEMADEN","mancha",7,"moda_mancha",7,0.8,0.973,1.37,"Brasilãòia",2,"CEMADEN","jul","uniplu_vizinhanca"
"120070801A","AC",-10.665833,-68.485844,10,"CEMADEN","mancha",7,"moda_mancha",7,0.8,0.973,2.93,"Xapuri",3,"CEMADEN","jul","uniplu_vizinhanca"
"12100000","AM",-4.6661,-68.1483,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.4,0.757,62.63,"Jutaí",3,"TELEMETRIA","jul","uniplu_vizinhanca"
"12240000","AM",-3.3372,-67.4917,15,"TELEMETRIA","mancha",9,"moda_mancha",9,0.4,0.867,0.31,"Jutaí",1,"TELEMETRIA","set","uniplu_vizinhanca"
"12351000","AM",-2.4914,-66.0617,15,"TELEMETRIA","mancha",9,"moda_mancha",9,0.4,0.894,5.12,"Fonte Boa",4,"TELEMETRIA","set","uniplu_vizinhanca"
"12370000","AC",-8.9458,-72.7847,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.5,0.966,1.17,"Marechal Thaumaturgo",2,"TELEMETRIA","jul","uniplu_vizinhanca"
"12500000","AC",-7.6333,-72.6603,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.6,0.967,3.39,"Cruzeiro do Sul",1,"TELEMETRIA","ago","uniplu_vizinhanca"
"12510500","AC",-7.7994,-72.0211,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.6,0.967,5.65,"Tarauacá",4,"TELEMETRIA","ago","uniplu_vizinhanca"
"12520000","AM",-7.0556,-71.6892,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.6,0.967,0.77,"Ipixuna",3,"TELEMETRIA","ago","uniplu_vizinhanca"
"12540000","AM",-7.2667,-70.9833,15,"TELEMETRIA","mancha",8,"moda_mancha",8,0.6,0.967,0.1,"Eirunepé",3,"TELEMETRIA","ago","uniplu_vizinhanca"
"12590000","AC",-8.1519,-70.7456,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.5,0.966,2.72,"Tarauacá",3,"TELEMETRIA","jul","uniplu_vizinhanca"
"12640000","AC",-8.6858,-70.5511,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.6,0.967,61.86,"Feijó",2,"TELEMETRIA","jul","uniplu_vizinhanca"
