"gauge_code","estado","n_duracoes","n_duracoes_30anos","min_anos","med_anos","max_anos","passa"
"82807","AC",8,8,51,51,51,TRUE
"82915","AC",8,8,51,51,51,TRUE
"967000","AC",8,8,48,48,48,TRUE
"82704","AC",8,8,45,45,45,TRUE
"773000","AC",8,8,43,43,43,TRUE
"1068000","AC",8,8,40,40,40,TRUE
"872000","AC",8,8,39,39,39,TRUE
"1069000","AC",8,8,38,38,38,TRUE
"1168001","AC",8,8,37,37,37,TRUE
"872001","AC",8,8,37,37,37,TRUE
"972000","AC",8,8,37,37,37,TRUE
"969001","AC",8,8,32,32,32,TRUE
"771001","AC",8,8,31,31,31,TRUE
"870002","AC",8,8,31,31,31,TRUE
"869000","AC",8,8,30,30,30,TRUE
"1036005","AL",8,8,89,89,89,TRUE
"1036007","AL",8,8,85,85,85,TRUE
"937013","AL",8,8,85,85,85,TRUE
"937023","AL",8,8,84,84,84,TRUE
"937018","AL",8,8,82,82,82,TRUE
"937006","AL",8,8,80,80,80,TRUE
"1036009","AL",8,8,79,79,79,TRUE
"936026","AL",8,8,78,78,78,TRUE
"937022","AL",8,8,77,77,77,TRUE
"936010","AL",8,8,76,76,76,TRUE
"936028","AL",8,8,76,76,76,TRUE
"936050","AL",8,8,76,76,76,TRUE
"936057","AL",8,8,76,76,76,TRUE
"935005","AL",8,8,74,74,74,TRUE
"936070","AL",8,8,73,73,73,TRUE
"936041","AL",8,8,72,72,72,TRUE
"936053","AL",8,8,71,71,71,TRUE
"937019","AL",8,8,71,71,71,TRUE
"936034","AL",8,8,70,70,70,TRUE
"937004","AL",8,8,69,69,69,TRUE
"937007","AL",8,8,69,69,69,TRUE
"1036008","AL",8,8,66,66,66,TRUE
"936020","AL",8,8,66,66,66,TRUE
"936022","AL",8,8,64,64,64,TRUE
"936048","AL",8,8,61,61,61,TRUE
"1036004","AL",8,8,59,59,59,TRUE
"935012","AL",8,8,56,56,56,TRUE
"937012","AL",8,8,56,56,56,TRUE
"82994","AL",8,8,51,51,51,TRUE
"935016","AL",8,8,50,50,50,TRUE
"936051","AL",8,8,49,49,49,TRUE
"936076","AL",8,8,49,49,49,TRUE
"1036013","AL",8,8,47,47,47,TRUE
"937032","AL",8,8,47,47,47,TRUE
"82992","AL",8,8,46,46,46,TRUE
"935025","AL",8,8,45,45,45,TRUE
"82996","AL",8,8,44,44,44,TRUE
"82989","AL",8,8,42,42,42,TRUE
"935004","AL",8,8,39,39,39,TRUE
"935013","AL",8,8,38,38,38,TRUE
"835072","AL",8,8,37,37,37,TRUE
"937021","AL",8,8,36,36,36,TRUE
"82990","AL",8,8,35,35,35,TRUE
"835139","AL",8,8,35,35,35,TRUE
"937014","AL",8,8,35,35,35,TRUE
"1036062","AL",8,8,34,34,34,TRUE
"935011","AL",8,8,34,34,34,TRUE
"935056","AL",8,8,34,34,34,TRUE
"935057","AL",8,8,34,34,34,TRUE
"936045","AL",8,8,34,34,34,TRUE
"936110","AL",8,8,34,34,34,TRUE
"936111","AL",8,8,34,34,34,TRUE
"937005","AL",8,8,34,34,34,TRUE
"1036003","AL",8,8,33,33,33,TRUE
"935001","AL",8,8,33,33,33,TRUE
"935028","AL",8,8,33,33,33,TRUE
"936031","AL",8,8,33,33,33,TRUE
"936052","AL",8,8,33,33,33,TRUE
"936114","AL",8,8,33,33,33,TRUE
"935023","AL",8,8,32,32,32,TRUE
"936049","AL",8,8,32,32,32,TRUE
"936113","AL",8,8,32,32,32,TRUE
"937011","AL",8,8,32,32,32,TRUE
"935010","AL",8,8,30,30,30,TRUE
"935021","AL",8,8,30,30,30,TRUE
"936112","AL",8,8,30,30,30,TRUE
"937016","AL",8,8,30,30,30,TRUE
"82533","AM",8,8,67,67,67,TRUE
"8068000","AM",8,8,63,63,63,TRUE
"82331","AM",8,8,63,63,63,TRUE
"82106","AM",8,8,59,59,59,TRUE
"360000","AM",8,8,57,57,57,TRUE
"82067","AM",8,8,54,54,54,TRUE
"82113","AM",8,8,53,53,53,TRUE
"82212","AM",8,8,53,53,53,TRUE
"368001","AM",8,8,52,52,52,TRUE
"82410","AM",8,8,52,52,52,TRUE
"166000","AM",8,8,51,51,51,TRUE
"367000","AM",8,8,50,50,50,TRUE
"867001","AM",8,8,50,50,50,TRUE
"82240","AM",8,8,48,48,48,TRUE
"760001","AM",8,8,47,47,47,TRUE
"82317","AM",8,8,47,47,47,TRUE
"82425","AM",8,8,47,47,47,TRUE
"968001","AM",8,8,47,47,47,TRUE
"162000","AM",8,8,46,46,46,TRUE
"257000","AM",8,8,46,46,46,TRUE
"765000","AM",8,8,46,46,46,TRUE
"165000","AM",8,8,45,45,45,TRUE
"366000","AM",8,8,45,45,45,TRUE
"63000","AM",8,8,45,45,45,TRUE
"658000","AM",8,8,45,45,45,TRUE
"660000","AM",8,8,45,45,45,TRUE
"664001","AM",8,8,45,45,45,TRUE
"766001","AM",8,8,45,45,45,TRUE
"82336","AM",8,8,45,45,45,TRUE
"161002","AM",8,8,44,44,44,TRUE
"259000","AM",8,8,44,44,44,TRUE
"357001","AM",8,8,44,44,44,TRUE
"358002","AM",8,8,44,44,44,TRUE
"360001","AM",8,8,44,44,44,TRUE
"361000","AM",8,8,44,44,44,TRUE
"66000","AM",8,8,44,44,44,TRUE
"668000","AM",8,8,44,44,44,TRUE
